AnalysisId,SampleId,SampleNum,Type,Fixed,Latitude,Longitude,Distance_miles,Bearing,Direction,CollectionDate,Source,Description,SpectraFile,SamplingTime,LiveTime,InstrumentHeight,Uncertainty,MDA,MethodCode,Moisture_pct,Nuclide,Result,Unit
221889,10331,JIS-0608-1,Instrument,No,36.9795,140.362861,47.8865957091195,230.56234863844,SW,6/7/2011 11:20:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-1.CHN,1931,1800,100,0.00143,,InSituGammaSpec,,La-140,0.002523,uCi/m2
221891,10331,JIS-0608-1,Instrument,No,36.9795,140.362861,47.8865957091195,230.56234863844,SW,6/7/2011 11:20:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-1.CHN,1931,1800,100,0.000571,,InSituGammaSpec,,Nb-95,0.001722,uCi/m2
221893,10331,JIS-0608-1,Instrument,No,36.9795,140.362861,47.8865957091195,230.56234863844,SW,6/7/2011 11:20:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-1.CHN,1931,1800,100,0.000558,,InSituGammaSpec,,Ag-110m,0.002413,uCi/m2
221895,10333,JIS-0608-2,Instrument,No,36.881,140.459694,48.8714224396442,220.366369038445,SW,6/8/2011 12:48:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-2.CHN,1838,1800,100,0.057261,,InSituGammaSpec,,Cs-134,0.214032,uCi/m2
221897,10333,JIS-0608-2,Instrument,No,36.881,140.459694,48.8714224396442,220.366369038445,SW,6/8/2011 12:48:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-2.CHN,1838,1800,100,0.001832007,,InSituGammaSpec,,Cs-137,0.191032135,uCi/m2
221899,10333,JIS-0608-2,Instrument,No,36.881,140.459694,48.8714224396442,220.366369038445,SW,6/8/2011 12:48:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-2.CHN,1838,1800,100,0,0.00249772,InSituGammaSpec,,Cs-136,0,uCi/m2
221901,10333,JIS-0608-2,Instrument,No,36.881,140.459694,48.8714224396442,220.366369038445,SW,6/8/2011 12:48:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-2.CHN,1838,1800,100,0,0.006205,InSituGammaSpec,,I-131,0,uCi/m2
221903,10333,JIS-0608-2,Instrument,No,36.881,140.459694,48.8714224396442,220.366369038445,SW,6/8/2011 12:48:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-2.CHN,1838,1800,100,0,0.01393,InSituGammaSpec,,I-132,0,uCi/m2
221905,10333,JIS-0608-2,Instrument,No,36.881,140.459694,48.8714224396442,220.366369038445,SW,6/8/2011 12:48:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-2.CHN,1838,1800,100,0,0.060655,InSituGammaSpec,,Te-129,0,uCi/m2
221907,10333,JIS-0608-2,Instrument,No,36.881,140.459694,48.8714224396442,220.366369038445,SW,6/8/2011 12:48:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-2.CHN,1838,1800,100,0,0.005,InSituGammaSpec,,I-133,0,uCi/m2
