Country,State,Name,Latitude,Longitude,DistanceFromSource,ArrivalDay,ArrivalHour,ArrivalMin,TravelTimeHours,TravelTimeMin,MaxWaveDay,MaxWaveHour,MaxWaveMin,MaxWaveHeight
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.31967,141.47014,79,,,,,,,,,7.88
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.85811,141.60831,91,,,,,,,,,7.91
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.38072,141.43958,82,,,,,,,,,8.02
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.10239,140.93042,128,,,,,,,,,8.05
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.51478,141.49067,81,,,,,,,,,8.12
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.95877,140.91478,133,,,,,,,,,8.2
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.34744,141.0425,116,,,,,,,,,2.74
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.923,140.89419,136,,,,,,,,,7.3
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.0008,140.91302,132,,,,,,,,,7.3
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.44875,141.44358,83,,,,,,,,,22.28
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.74575,141.52708,89,,,,,,,,,22.93
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.40042,141.59553,69,,,,,,,,,23.64
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.78439,141.49897,93,,,,,,,,,11.53
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.45664,141.51983,76,,,,,,,,,11.57
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.91506,140.90939,135,,,,,,,,,11.62
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.21044,140.95086,125,,,,,,,,,2.94
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.37303,141.14631,107,,,,,,,,,2.96
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.14575,140.91664,128,,,,,,,,,2.96
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.20197,140.93275,126,,,,,,,,,3
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.20406,140.93469,126,,,,,,,,,3.02
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.41625,141.225,101,,,,,,,,,3.03
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.44675,141.29124,96,,,,,,,,,3.04
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.13389,140.91667,129,,,,,,,,,3.06
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.12117,140.90056,130,,,,,,,,,3.06
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.10497,140.91167,130,,,,,,,,,3.06
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.13469,140.90914,129,,,,,,,,,3.08
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.22117,140.95114,124,,,,,,,,,3.73
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.32156,141.02603,118,,,,,,,,,3.73
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.148,140.92269,128,,,,,,,,,3.75
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.42919,141.30561,94,,,,,,,,,3.77
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.90242,141.62414,94,,,,,,,,,3.77
